Venue,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,TeamGoals,OpponentGoals,Win,Draw,Loss
Home,Southampton,Y,LM,90,0,0,0,0,1,1,45,0,2,0,0.0,0.0,0.0,6,1,20,32,62.5,2,25,4,4,2,1,1,0,1,0
Away,Everton,Y,LM,90,0,0,0,0,4,0,46,0,1,0,0.2,0.2,0.0,3,0,30,36,83.3,3,30,1,2,1,1,2,0,0,1
Home,Chelsea,Y,"RW,RM",90,1,0,0,0,2,1,40,1,1,2,0.1,0.1,0.0,6,1,21,32,65.6,4,19,3,2,2,3,1,1,0,0
Away,Brighton,Y,RW,80,0,1,0,0,2,0,49,2,0,1,0.2,0.2,0.6,5,1,25,36,69.4,3,26,3,3,2,1,0,1,0,0
Away,West Brom,Y,RW,70,1,0,0,0,4,2,48,1,1,2,0.9,0.9,0.1,2,0,21,34,61.8,3,22,3,1,1,4,0,1,0,0
Home,Crystal Palace,Y,"RW,LB",90,0,0,0,0,2,2,65,1,1,3,0.1,0.1,0.1,3,0,36,48,75.0,1,29,0,3,1,0,0,0,1,0
Home,Newcastle Utd,Y,RW,90,1,0,0,0,4,2,56,0,3,2,0.3,0.3,0.4,10,1,36,43,83.7,5,35,3,3,1,3,0,1,0,0
Away,Southampton,Y,RW,90,1,1,0,0,2,1,35,0,0,0,0.5,0.5,0.9,3,2,16,26,61.5,2,22,4,4,2,3,1,1,0,0
Away,Wolves,Y,RW,90,0,0,0,0,3,1,44,2,2,1,0.5,0.5,0.0,0,0,21,31,67.7,1,21,1,1,1,1,2,0,0,1
Away,Aston Villa,Y,"RW,LB",90,0,0,0,0,1,0,84,2,2,0,0.1,0.1,0.2,6,0,56,72,77.8,5,52,4,4,0,0,1,0,0,1
Home,Leeds United,Y,RW,90,0,0,0,0,1,0,43,1,0,0,0.0,0.0,0.0,4,1,24,31,77.4,1,23,3,7,3,4,2,1,0,0
Home,Manchester City,Y,"LW,RW",90,0,0,0,0,3,0,46,1,0,0,0.2,0.2,0.0,2,0,29,36,80.6,6,30,4,3,3,0,1,0,0,1
Away,Burnley,Y,"RW,LW",90,0,0,0,0,4,0,51,2,2,1,0.8,0.8,0.3,6,0,31,36,86.1,5,30,3,1,1,1,1,0,1,0
Home,Tottenham,Y,RW,45,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.2,2,0,13,17,76.5,0,15,0,0,0,2,1,1,0,0
Away,West Ham,Y,"RW,LW",73,0,0,0,0,2,1,38,0,1,0,0.2,0.2,0.0,1,0,27,32,84.4,4,34,3,2,1,3,3,0,1,0
Away,Sheffield Utd,Y,AM,68,0,0,0,0,1,0,48,1,0,1,0.1,0.1,0.1,4,1,30,36,83.3,4,34,3,3,1,3,0,1,0,0
Home,Fulham,Y,"RW,RB",90,0,0,0,0,2,0,61,0,0,0,0.0,0.0,0.2,6,0,43,55,78.2,3,39,4,6,4,1,1,0,1,0
Home,Everton,Y,"RW,RB,LW",90,0,0,0,0,2,1,64,0,0,1,0.1,0.1,0.1,5,0,36,49,73.5,2,32,4,3,1,0,1,0,0,1
Home,West Brom,Y,"LB,LW",90,0,1,0,0,1,1,57,1,2,0,0.1,0.1,0.4,2,1,36,50,72.0,5,42,2,2,2,3,1,1,0,0
Away,Chelsea,Y,WB,65,0,0,0,0,0,0,28,1,1,2,0.0,0.0,0.0,0,0,12,18,66.7,0,17,1,0,0,1,0,1,0,0
Away,Crystal Palace,Y,LW,64,0,0,0,0,0,0,44,1,0,0,0.0,0.0,0.0,2,1,24,34,70.6,2,26,1,3,1,3,1,1,0,0
Home,Brighton,N,LW,17,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,4,0,0,0,2,0,1,0,0
Away,Brentford,N,LW,32,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,2,0,16,22,72.7,4,21,4,4,3,0,2,0,0,1
Home,Chelsea,Y,LW,60,0,0,0,0,1,1,37,2,0,0,0.0,0.0,0.0,2,0,23,30,76.7,3,22,2,0,0,0,2,0,0,1
Away,Manchester City,Y,RM,45,0,0,0,0,1,0,13,0,1,0,0.2,0.2,0.0,0,0,5,7,71.4,2,9,0,0,0,0,5,0,0,1
Home,Norwich City,Y,LW,90,0,0,0,0,6,0,44,2,0,0,0.4,0.4,0.5,8,0,27,33,81.8,8,34,7,1,0,1,0,1,0,0
Away,Burnley,Y,"LM,LW",90,0,0,0,0,1,0,50,2,2,1,0.0,0.0,0.0,3,1,27,34,79.4,5,34,7,1,0,1,0,1,0,0
Home,Tottenham,Y,RW,86,1,1,0,0,2,2,51,3,1,0,0.4,0.4,0.2,4,1,30,37,81.1,4,36,4,3,0,3,1,1,0,0
Away,Brighton,Y,RW,89,0,0,0,0,1,1,51,0,1,0,0.1,0.1,0.1,4,0,32,41,78.0,2,34,4,4,2,0,0,0,1,0
Home,Crystal Palace,Y,LM,45,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,2,0,12,16,75.0,1,13,3,0,0,2,2,0,1,0
Home,Aston Villa,Y,RW,90,0,0,0,0,4,1,53,0,1,1,0.7,0.7,0.3,6,0,26,41,63.4,3,35,5,3,0,3,1,1,0,0
Away,Leicester City,Y,RM,84,0,1,0,0,2,0,41,0,1,1,0.1,0.1,0.2,4,1,21,32,65.6,2,25,4,1,1,2,0,1,0,0
Home,Watford,Y,"RM,RW",89,0,0,0,0,0,0,46,2,0,1,0.0,0.0,0.2,6,0,26,36,72.2,4,28,6,5,3,1,0,1,0,0
Away,Liverpool,Y,RM,90,0,0,0,0,2,0,40,0,0,1,0.2,0.2,0.0,1,0,22,27,81.5,1,24,5,1,1,0,4,0,0,1
Home,Newcastle Utd,Y,RM,63,1,0,0,0,3,2,43,0,0,0,0.7,0.7,0.4,4,0,27,38,71.1,3,36,3,3,2,2,0,1,0,0
Away,Manchester Utd,N,LM,21,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,1,13,0,1,1,2,3,0,0,1
Away,Everton,Y,RW,90,0,0,0,0,1,1,44,4,0,0,0.0,0.0,0.3,5,0,32,34,94.1,2,27,5,2,2,1,2,0,0,1
Home,Southampton,Y,RM,90,0,1,0,0,3,1,44,0,0,0,0.5,0.5,0.5,5,1,23,34,67.6,1,36,3,1,0,3,0,1,0,0
Home,West Ham,Y,RM,90,0,1,0,0,3,0,63,2,0,1,0.4,0.4,0.5,8,1,35,47,74.5,2,43,12,8,3,2,0,1,0,0
Away,Leeds United,Y,RW,77,1,0,0,0,7,2,38,0,0,2,1.3,1.3,0.1,6,1,16,25,64.0,2,24,1,3,1,4,1,1,0,0
Away,Norwich City,Y,RW,77,2,0,0,0,3,2,51,1,0,2,0.2,0.2,0.4,3,0,29,39,74.4,2,30,1,1,1,5,0,1,0,0
Home,Manchester City,Y,RW,83,1,0,0,0,1,1,33,0,0,0,0.1,0.1,0.0,2,0,13,24,54.2,1,21,1,2,0,1,2,0,0,1
Home,Burnley,Y,RM,90,0,0,0,0,4,1,59,1,0,1,0.1,0.1,0.1,7,0,32,39,82.1,5,41,7,11,5,0,0,0,1,0
Away,Wolves,Y,RW,70,0,0,0,0,1,0,29,0,0,1,0.0,0.0,0.3,2,0,17,22,77.3,2,17,2,3,2,1,0,1,0,0
Home,Brentford,Y,"RW,LW",90,1,0,0,0,6,3,61,2,0,0,0.3,0.3,0.1,5,1,37,49,75.5,3,31,4,0,0,2,1,1,0,0
Home,Wolves,Y,"RW,WB",90,0,0,0,0,5,1,37,0,0,1,0.4,0.4,0.7,7,0,19,30,63.3,1,27,6,3,2,2,1,1,0,0
Away,Watford,Y,"RW,LW,RM",90,1,1,0,0,1,1,62,2,2,2,0.1,0.1,0.1,3,2,37,50,74.0,6,36,6,2,1,3,2,1,0,0
Home,Leicester City,Y,RW,84,0,0,0,0,5,1,52,4,2,1,0.3,0.3,0.1,4,0,20,27,74.1,2,34,4,6,0,2,0,1,0,0
Home,Liverpool,Y,RW,73,0,0,0,0,1,1,29,0,0,1,0.0,0.0,0.0,2,0,15,21,71.4,1,23,1,1,0,0,2,0,0,1
Away,Aston Villa,Y,RW,68,1,0,0,0,3,1,45,1,1,1,0.1,0.1,0.8,4,0,21,31,67.7,3,26,6,2,0,1,0,1,0,0
Away,Crystal Palace,Y,"RW,LW,RM",90,0,0,0,0,1,0,47,4,1,0,0.0,0.0,0.1,2,0,26,32,81.3,1,27,2,3,1,0,3,0,0,1
Home,Brighton,Y,"RW,LM,RM",90,0,0,0,0,3,0,55,0,1,3,0.2,0.2,0.6,9,0,29,38,76.3,6,36,1,3,2,1,2,0,0,1
Away,Southampton,Y,"LW,RW",90,0,0,0,0,4,2,61,0,2,1,0.6,0.6,0.2,7,0,37,46,80.4,5,39,2,5,2,0,1,0,0,1
Away,Chelsea,Y,"RW,LM",89,1,0,1,1,2,0,47,1,4,1,0.9,0.1,0.1,5,2,20,29,69.0,3,18,5,3,1,4,2,1,0,0
Home,Manchester Utd,Y,RW,73,1,0,1,1,4,1,39,2,0,1,1.0,0.2,0.0,4,2,23,29,79.3,2,26,2,0,0,3,1,1,0,0
Away,West Ham,Y,RW,86,0,1,0,0,2,1,35,2,1,2,0.1,0.1,0.2,3,2,19,24,79.2,0,16,5,2,1,2,1,1,0,0
Home,Leeds United,Y,RW,67,0,0,0,0,2,1,44,2,0,0,0.1,0.1,0.0,4,0,19,26,73.1,0,27,2,7,3,2,1,1,0,0
Away,Tottenham,Y,"RW,RM,LB",90,0,0,0,0,2,0,37,0,1,1,0.1,0.1,0.0,4,0,17,26,65.4,4,18,2,3,2,0,3,0,0,1
Away,Newcastle Utd,Y,"RW,CM",90,0,0,0,0,4,1,30,0,0,0,0.2,0.2,0.1,3,0,15,21,71.4,2,17,4,0,0,0,2,0,0,1
Home,Everton,Y,RW,77,0,1,0,0,3,0,54,1,0,0,0.4,0.4,0.1,8,3,36,44,81.8,2,29,2,4,1,5,1,1,0,0
Away,Crystal Palace,Y,RW,90,0,0,0,0,3,0,48,2,0,3,0.3,0.3,0.0,3,1,25,35,71.4,1,31,5,3,1,2,0,1,0,0
Home,Leicester City,Y,RW,83,0,0,0,0,1,1,41,1,0,1,0.0,0.0,0.3,5,1,28,34,82.4,1,25,3,1,0,4,2,1,0,0
Away,Bournemouth,Y,RW,87,0,0,0,0,1,0,55,1,3,0,0.0,0.0,0.2,3,1,36,41,87.8,2,41,6,7,2,3,0,1,0,0
Home,Fulham,Y,"RW,WB,RM",90,0,1,0,0,2,1,62,0,1,3,0.5,0.5,0.2,3,1,39,49,79.6,6,39,6,12,3,2,1,1,0,0
