Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Nott'ham Forest,Y,CM,90,1,0,0,0,4,1,125,2,0,0,0.2,0.2,0.1,6,2,104,116,89.7,14,68,4,0,0,Thomas-Partey,5,0,1,0,0,5
Away,Arsenal,Chelsea,Y,CM,90,0,0,0,0,2,0,71,2,1,1,0.3,0.3,0.0,1,0,51,56,91.1,4,26,1,3,2,Thomas-Partey,1,0,1,0,0,1
Away,Arsenal,Wolves,Y,CM,90,0,0,0,0,0,0,69,3,0,0,0.0,0.0,0.0,3,0,53,64,82.8,5,42,0,1,0,Thomas-Partey,2,0,1,0,0,2
Home,Arsenal,West Ham,Y,CM,89,0,0,0,0,1,0,102,2,1,1,0.0,0.0,0.0,2,0,78,94,83.0,14,71,2,0,0,Thomas-Partey,3,1,1,0,0,4
Away,Arsenal,Brighton,Y,CM,73,0,0,0,0,1,0,33,2,0,0,0.2,0.2,0.1,5,0,20,27,74.1,8,18,0,0,0,Thomas-Partey,4,2,1,0,0,6
Home,Arsenal,Newcastle Utd,Y,CM,90,0,0,0,0,2,0,105,3,1,1,0.1,0.1,0.0,5,0,78,92,84.8,5,61,1,1,0,Thomas-Partey,0,0,0,1,0,0
Away,Arsenal,Tottenham,Y,CM,90,0,0,0,0,3,0,89,4,1,2,0.1,0.1,0.0,2,1,69,78,88.5,6,59,2,0,0,Thomas-Partey,2,0,1,0,0,2
Home,Arsenal,Manchester Utd,Y,CM,90,0,0,0,0,1,0,71,2,2,1,0.1,0.1,0.0,1,0,42,53,79.2,8,30,1,3,3,Thomas-Partey,3,2,1,0,0,5
Away,Arsenal,Everton,Y,CM,58,0,0,0,0,1,1,76,3,0,0,0.0,0.0,0.0,0,0,64,70,91.4,9,54,1,2,2,Thomas-Partey,0,1,0,0,1,1
Home,Arsenal,Brentford,Y,CM,90,0,0,0,0,1,0,99,3,1,2,0.0,0.0,0.2,7,0,79,89,88.8,14,67,2,4,4,Thomas-Partey,1,1,0,1,0,2
Away,Arsenal,Leicester City,N,RM,7,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,3,1,1,0,Thomas-Partey,1,0,1,0,0,1
Home,Arsenal,Everton,N,CM,45,0,0,0,0,0,0,64,2,0,0,0.0,0.0,0.2,2,0,56,60,93.3,7,45,1,0,0,Thomas-Partey,4,0,1,0,0,4
Home,Arsenal,Bournemouth,Y,CM,90,1,0,0,0,1,1,101,3,0,2,0.3,0.3,0.1,3,1,76,90,84.4,18,77,3,1,1,Thomas-Partey,3,2,1,0,0,5
Away,Arsenal,Fulham,Y,CM,90,0,0,0,0,0,0,68,2,2,2,0.0,0.0,0.0,2,0,55,59,93.2,4,50,0,4,4,Thomas-Partey,3,0,1,0,0,3
Home,Arsenal,Crystal Palace,Y,"CM,RB",90,0,0,0,0,2,0,92,3,0,0,0.1,0.1,0.0,2,0,72,83,86.7,9,46,1,2,1,Thomas-Partey,4,1,1,0,0,5
Home,Arsenal,Leeds United,Y,CM,59,0,0,0,0,0,0,52,1,1,1,0.0,0.0,0.0,0,0,44,46,95.7,3,43,0,0,0,Thomas-Partey,4,1,1,0,0,5
Away,Arsenal,Liverpool,Y,CM,90,0,0,0,0,0,0,50,5,2,2,0.0,0.0,0.0,0,0,29,36,80.6,3,17,0,2,2,Thomas-Partey,2,2,0,1,0,4
Away,Arsenal,West Ham,Y,CM,66,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,40,46,87.0,7,35,0,1,0,Thomas-Partey,2,2,0,1,0,4
Home,Arsenal,Southampton,Y,"CM,DM",90,0,0,0,0,2,0,98,5,1,0,0.1,0.1,0.0,5,0,78,86,90.7,13,67,1,1,1,Thomas-Partey,3,3,0,1,0,6
Away,Arsenal,Manchester City,Y,CM,90,0,0,0,0,1,0,48,2,0,3,0.1,0.1,0.0,1,0,38,40,95.0,6,29,2,2,2,Thomas-Partey,1,4,0,0,1,5
Home,Arsenal,Chelsea,N,CM,5,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,1,0,0,0,Thomas-Partey,3,1,1,0,0,4
Away,Arsenal,Newcastle Utd,N,RM,11,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,1,1,Thomas-Partey,2,0,1,0,0,2
Home,Arsenal,Brighton,N,CM,31,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.2,3,0,18,21,85.7,1,15,0,0,0,Thomas-Partey,0,3,0,0,1,3
Away,Arsenal,Nott'ham Forest,Y,RB,90,0,0,0,0,0,0,130,1,2,0,0.0,0.0,0.0,0,0,111,123,90.2,17,92,5,3,3,Thomas-Partey,0,1,0,0,1,1
Home,Arsenal,Wolves,Y,RB,90,0,0,0,0,0,0,67,2,0,2,0.0,0.0,0.0,1,1,55,59,93.2,8,44,4,2,2,Thomas-Partey,5,0,1,0,0,5
