Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Norwich City,N,LW,9,1,0,0,0,1,1,7,0,0,0,0.7,0.7,0.0,1,1,5,5,100.0,1,5,0,1,0,Emile-Smith-Rowe,5,0,1,0,0,5
Home,Arsenal,Manchester City,N,"DM,LW",20,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,0,5,0,0,0,Emile-Smith-Rowe,1,2,0,0,1,3
Home,Arsenal,Burnley,Y,CM,76,0,0,0,0,2,1,48,0,0,0,0.3,0.3,0.3,4,0,37,45,82.2,5,31,3,1,0,Emile-Smith-Rowe,0,0,0,1,0,0
Away,Arsenal,Wolves,N,"CM,AM",23,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,6,0,1,0,Emile-Smith-Rowe,1,0,1,0,0,1
Home,Arsenal,Brentford,Y,LW,74,1,0,0,0,2,1,57,1,1,1,0.1,0.1,0.0,1,0,35,47,74.5,5,37,7,2,2,Emile-Smith-Rowe,2,1,1,0,0,3
Home,Arsenal,Leicester City,N,LW,13,0,0,0,0,1,1,7,0,0,1,0.1,0.1,0.0,1,0,4,4,100.0,0,3,0,0,0,Emile-Smith-Rowe,2,0,1,0,0,2
Home,Arsenal,Liverpool,N,AM,24,0,0,0,0,1,0,16,0,0,0,0.1,0.1,0.0,2,0,12,15,80.0,2,11,0,2,2,Emile-Smith-Rowe,0,2,0,0,1,2
Away,Arsenal,Aston Villa,Y,"LW,LM",90,0,0,0,0,3,1,47,0,0,1,0.9,0.9,0.0,2,0,36,43,83.7,2,37,2,1,1,Emile-Smith-Rowe,1,0,1,0,0,1
Away,Arsenal,Crystal Palace,Y,"CM,LW",90,0,0,0,0,1,1,65,0,1,0,0.2,0.2,0.2,6,0,49,57,86.0,10,44,0,2,0,Emile-Smith-Rowe,0,3,0,0,1,3
Home,Arsenal,Brighton,Y,AM,61,0,0,0,0,1,0,27,1,0,1,0.1,0.1,0.1,0,0,13,20,65.0,0,12,0,1,0,Emile-Smith-Rowe,1,2,0,0,1,3
Away,Arsenal,Southampton,N,CM,31,0,0,0,0,2,1,23,0,0,0,0.2,0.2,0.1,2,0,15,18,83.3,3,11,1,0,0,Emile-Smith-Rowe,0,1,0,0,1,1
Away,Arsenal,Chelsea,Y,LW,74,1,0,0,0,2,1,28,1,0,2,0.2,0.2,0.1,4,0,15,19,78.9,0,19,3,2,2,Emile-Smith-Rowe,4,2,1,0,0,6
