Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,74,0,0,2,0.0,0.0,0.0,0,0,58,66,87.9,1,50,0,0,0,Gabriel-Dos-Santos,0,2,0,0,1,2
Away,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.0,0,0,61,64,95.3,1,55,1,0,0,Gabriel-Dos-Santos,1,0,1,0,0,1
Away,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,1,1,117,0,1,0,0.1,0.1,0.0,2,0,100,109,91.7,7,87,1,0,0,Gabriel-Dos-Santos,0,3,0,0,1,3
Home,Arsenal,Brighton,Y,CB,90,0,0,0,0,2,0,85,0,0,1,0.2,0.2,0.0,1,0,63,78,80.8,1,61,0,0,0,Gabriel-Dos-Santos,1,2,0,0,1,3
Away,Arsenal,Southampton,Y,CB,90,0,0,0,0,1,1,101,3,0,0,0.0,0.0,0.0,1,0,84,91,92.3,10,81,2,0,0,Gabriel-Dos-Santos,0,1,0,0,1,1
Away,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,45,4,1,1,0.0,0.0,0.0,1,0,26,31,83.9,2,19,0,0,0,Gabriel-Dos-Santos,4,2,1,0,0,6
Home,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,1,0,55,1,0,2,0.0,0.0,0.0,0,0,40,48,83.3,4,40,1,0,0,Gabriel-Dos-Santos,3,1,1,0,0,4
Away,Arsenal,West Ham,Y,CB,90,1,0,0,0,1,1,57,2,0,1,0.2,0.2,0.0,0,0,41,46,89.1,1,39,0,0,0,Gabriel-Dos-Santos,2,1,1,0,0,3
Home,Arsenal,Leeds United,Y,CB,90,0,0,0,0,2,1,88,0,0,0,0.1,0.1,0.0,0,0,82,87,94.3,10,64,0,0,0,Gabriel-Dos-Santos,2,1,1,0,0,3
Away,Arsenal,Tottenham,Y,CB,75,0,0,0,0,0,0,56,2,1,4,0.0,0.0,0.0,3,0,39,44,88.6,1,31,0,0,0,Gabriel-Dos-Santos,0,3,0,0,1,3
Away,Arsenal,Newcastle Utd,Y,CB,72,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,21,23,91.3,3,13,0,0,0,Gabriel-Dos-Santos,0,2,0,0,1,2
Home,Arsenal,Everton,Y,CB,90,1,0,0,0,1,1,62,2,0,0,0.4,0.4,0.0,0,0,54,57,94.7,8,49,0,0,0,Gabriel-Dos-Santos,5,1,1,0,0,6
Away,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,0,0,67,1,1,2,0.0,0.0,0.0,0,0,52,58,89.7,1,48,1,0,0,Gabriel-Dos-Santos,2,0,1,0,0,2
