Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Away,Arsenal,Norwich City,Y,AM,90,0,2,0,0,3,0,71,0,1,0,0.1,0.1,0.3,6,3,55,64,85.9,8,42,3,1,1,Martin-Odegaard,5,0,1,0,0,5
Home,Arsenal,Manchester City,Y,AM,62,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,1,16,20,80.0,1,5,0,0,0,Martin-Odegaard,1,2,0,0,1,3
Home,Arsenal,Burnley,Y,CM,90,0,0,0,0,3,2,62,3,1,0,0.3,0.3,0.2,6,0,44,53,83.0,7,37,1,0,0,Martin-Odegaard,0,0,0,1,0,0
Away,Arsenal,Wolves,Y,AM,67,0,0,0,0,0,0,47,2,0,0,0.0,0.0,0.1,6,0,36,43,83.7,7,29,1,1,1,Martin-Odegaard,1,0,1,0,0,1
Home,Arsenal,Brentford,Y,AM,90,0,0,0,0,3,1,84,1,0,0,0.6,0.6,0.0,7,0,64,76,84.2,13,57,3,3,2,Martin-Odegaard,2,1,1,0,0,3
Home,Arsenal,Wolves,Y,AM,90,0,0,0,0,2,0,52,1,0,3,0.2,0.2,0.1,4,1,34,45,75.6,9,32,3,4,3,Martin-Odegaard,2,1,1,0,0,3
Away,Arsenal,Watford,Y,AM,89,1,0,0,0,1,1,87,4,1,1,0.1,0.1,0.3,9,2,71,79,89.9,13,47,0,0,0,Martin-Odegaard,3,2,1,0,0,5
Home,Arsenal,Leicester City,Y,AM,90,0,0,0,0,0,0,63,3,1,0,0.0,0.0,0.3,8,0,45,58,77.6,11,45,2,2,1,Martin-Odegaard,2,0,1,0,0,2
Home,Arsenal,Liverpool,Y,AM,66,0,0,0,0,1,1,35,4,0,2,0.2,0.2,0.0,2,0,19,22,86.4,1,18,1,2,1,Martin-Odegaard,0,2,0,0,1,2
Away,Arsenal,Aston Villa,Y,AM,85,0,0,0,0,1,0,48,0,0,0,0.1,0.1,0.2,6,0,45,46,97.8,12,38,3,0,0,Martin-Odegaard,1,0,1,0,0,1
Away,Arsenal,Crystal Palace,Y,"CM,AM",90,0,0,0,0,3,0,50,1,0,1,0.3,0.3,0.0,3,0,32,40,80.0,4,28,0,0,0,Martin-Odegaard,0,3,0,0,1,3
Home,Arsenal,Brighton,Y,"DM,CM",90,1,0,0,0,4,1,53,2,0,2,0.1,0.1,0.0,2,0,33,43,76.7,3,29,1,1,1,Martin-Odegaard,1,2,0,0,1,3
Away,Arsenal,Southampton,Y*,"AM,CM",90,0,0,0,0,3,0,81,2,0,0,0.2,0.2,0.2,9,0,65,73,89.0,16,50,3,1,1,Martin-Odegaard,0,1,0,0,1,1
Away,Arsenal,Chelsea,Y*,"AM,RM",90,0,1,0,0,0,0,42,3,0,1,0.0,0.0,0.3,3,1,31,34,91.2,7,26,2,1,0,Martin-Odegaard,4,2,1,0,0,6
